Version;FieldName;sigla_unidade_ensino;nome_unidade_ensino;dt_autorizacao;sigla_uf_unidade_ensino;nome_municipio_unidade_ensino
2;;IFCE;Instituto Federal do Ceará - Campus Fortaleza;09/03/2009 16:04:11;CE;Fortaleza
2;;IFCE;INSTITUTO FEDERAL DO CEARÁ CAMPUS HORIZONTE;29/01/2014 16:49:58;CE;Horizonte
2;;IFCE;Instituto Federal do Ceará - Campus Iguatu;09/03/2009 16:28:20;CE;Iguatu
2;;IFCE;INSTITUTO FEDERAL DO CEARÁ CAMPUS ITAPIPOCA;29/01/2014 18:40:13;CE;Itapipoca
2;;IFCE;Instituto Federal do Ceará - Campus Jaguaribe;21/03/2011 14:33:21;CE;Jaguaribe
2;;IFCE;Instituto Federal do Ceará - Campus Juazeiro do Norte;09/03/2009 16:14:28;CE;Juazeiro do Norte
2;;IFCE;Instituto Federal do Ceará - Campus Limoeiro do Norte;19/05/2009 17:24:26;CE;Limoeiro do Norte
2;;IFCE;Instituto Federal do Ceará - Campus Maracanaú;09/03/2009 16:19:33;CE;Maracanaú
2;;IFCE;INSTITUTO FEDERAL DO CEARÁ CAMPUS MARANGUAPE;29/01/2014 19:02:44;CE;Maranguape
2;;IFCE;Instituto Federal do Ceará - Campus Morada Nova;07/06/2011 17:36:31;CE;Morada Nova
2;;IFCE;INSTITUTO FEDERAL DO CEARÁ CAMPUS PARACURU;29/01/2014 19:14:57;CE;Paracuru
2;;IFCE;Instituto Federal do Ceará - Campus Quixadá;10/03/2009 09:32:49;CE;Quixadá
2;;IFCE;Instituto Federal do Ceará - Campus Sobral;19/05/2009 17:11:32;CE;Sobral
2;;IFCE;Instituto Federal do Ceará - Campus Tabuleiro do Norte;07/06/2011 17:43:35;CE;Tabuleiro do Norte
2;;IFCE;Instituto Federal do Ceará - Campus Tauá;06/10/2010 11:07:01;CE;Tauá
2;;IFCE;Instituto Federal do Ceará - Campus Tianguá;05/10/2010 17:36:26;CE;Tianguá
2;;IFCE;Instituto Federal do Ceará - Campus Ubajara;07/06/2011 17:49:49;CE;Ubajara
2;;IFCE;Instituto Federal do Ceará - Campus Umirim;24/10/2013 14:30:24;CE;Umirim
2;;null;INSTITUTO FEDERAL DO CEARÁ - CEDRO;19/05/2009 17:27:04;CE;Cedro
2;;IFCE;INSTITUTO FEDERAL DO CEARÁ CENTRO DE REFERÊNCIA QUIXERAMOBIM;13/06/2014 17:14:47;CE;Quixeramobim
2;;null;INSTITUTO FEDERAL DO CEARÁ - CRATO;19/05/2009 17:29:16;CE;Crato
2;;null;INSTITUTO FEDERAL DO CEARÁ - IGUATU;19/05/2009 17:32:05;CE;Iguatu
2;;null;INSTITUTO FEDERAL DO CEARÁ - QUIXADÁ;19/05/2009 17:21:30;CE;Quixadá
2;;IFES;Instituto Federal do Espírito Santo - Campus Alegre;05/03/2009 10:07:34;ES;Alegre
2;;IFES;Instituto Federal do Espírito Santo - Campus Aracruz;15/05/2009 09:01:59;ES;Aracruz
2;;IFES;INSTITUTO FEDERAL DO ESPÍRITO SANTO CAMPUS AVANÇADO VIANA;17/03/2014 19:05:08;ES;Viana
2;;IFES;Instituto Federal do Espírito Santo - Campus Barra de São Francisco;12/09/2012 22:42:40;ES;Barra de São Francisco
2;;IFES;Instituto Federal do Espírito Santo - Campus Cachoeiro de Itapemirim;05/03/2009 10:16:47;ES;Cachoeiro de Itapemirim
2;;IFES;Instituto Federal do Espírito Santo - Campus Cariacica;05/03/2009 10:10:16;ES;Cariacica
2;;IFES;Instituto Federal do Espírito Santo - Campus Centro Serrano;15/07/2011 17:01:58;ES;Santa Maria de Jetibá
2;;IFES;Instituto Federal do Espírito Santo - Campus Colatina;05/03/2009 10:22:18;ES;Colatina
2;;IFES;Instituto Federal do Espírito Santo - Campus Guarapari;18/06/2010 11:24:52;ES;Guarapari
2;;IFES;Instituto Federal do Espírito Santo - Campus Ibatiba;11/01/2011 16:53:52;ES;Ibatiba
2;;IFES;Instituto Federal do Espírito Santo - Campus Itapina;05/03/2009 10:19:25;ES;Colatina
